	-----------------------------------------------------------------	
	Trajectory	0

BackScattered	Transmitted	Detected	Displayed	Nb Collisions	Max Depth	Mean Free Path	Mean dE/dS	Mean Phi	Mean Theta	Mean Position
no	no	no	yes	306	696.729	0	-0.0113523	3.01902	0.202068	(-376.861,-183.758,519.729)	

X	Y	Z	Rx	Ry	Rz	Energy	Region
-499.356	-332.576	561.124	0.607735	0.213409	-0.694568	1.44262	Si
-498.711	-332.35	560.386	0.620518	0.127398	-0.631013	1.42671	Si
-496.847	-331.967	558.491	0.622629	0.0894889	-0.601558	1.38139	Si
-496.604	-331.932	558.256	0.594241	0.175917	-0.518602	1.37538	Si
-496.558	-331.918	558.216	0.587628	0.175302	-0.488138	1.3742	Si
-496.28	-331.835	557.985	0.477479	0.158293	-0.181196	1.36688	Si
-495.246	-331.493	557.593	0.498405	0.105799	-0.198403	1.33334	Si
-494.948	-331.429	557.474	0.528934	-0.0866719	-0.192759	1.32395	Si
-493.239	-331.709	556.851	0.518834	-0.128915	-0.207032	1.27292	Si
-493.043	-331.758	556.773	0.53203	0.174011	-0.29781	1.26681	Si
-492.916	-331.717	556.702	0.345133	0.3952	-0.0477178	1.26295	Si
-492.909	-331.709	556.701	0.100913	0.586583	-0.123775	1.26263	Si
-492.498	-329.316	556.196	0.227023	0.56417	-0.0903787	1.19633	Si
-492.32	-328.875	556.125	0.299542	0.532914	-0.113663	1.18322	Si
-491.92	-328.163	555.974	0.377298	0.48619	-0.111994	1.16067	Si
-491.011	-326.992	555.704	0.374582	0.497143	-0.1635	1.11951	Si
-490.042	-325.705	555.281	0.31547	0.53318	-0.123547	1.07434	Si
-489.453	-324.71	555.05	0.349158	0.513076	-0.127406	1.04097	Si
-489.306	-324.494	554.997	0.319234	0.537002	-0.194515	1.03333	Si
-489.145	-324.224	554.898	0.216144	0.570868	-0.0138268	1.02412	Si
-488.698	-323.044	554.87	0.216144	0.570868	-0.0138268	0.986135	Si
-488.443	-322.37	554.854	-0.245843	0.526146	-0.3701	0.96398	Si
-489.657	-319.773	553.027	-0.257308	0.529013	-0.347496	0.870117	Si
-489.71	-319.664	552.955	-0.381823	0.428448	-0.4279	0.865967	Si
-489.922	-319.425	552.717	-0.349071	0.443633	-0.485782	0.854718	Si
-490.242	-319.019	552.272	0.457933	0.82122	0.135663	0.836081	Si
-489.603	-317.873	552.461	0.492681	0.785593	0.172528	0.807361	Si
-488.822	-316.628	552.734	0.369116	0.825422	0.236398	0.774104	Si
-487.366	-313.371	553.667	0.439715	0.803442	0.205367	0.689446	Si
-487.045	-312.784	553.817	-0.429566	0.0164923	-0.724593	0.672773	Si
-488.153	-312.741	551.948	-0.425185	-0.0607142	-0.658202	0.613186	Si
-488.239	-312.753	551.815	-0.40295	-0.154893	-0.684261	0.608292	Si
-489.027	-313.056	550.477	-0.355708	-0.177062	-0.736398	0.560777	Si
-489.103	-313.094	550.32	-0.363911	-0.0129369	-0.795164	0.555375	Si
-490.049	-313.128	548.251	-0.365353	0.0807511	-0.756172	0.489258	Si
-490.153	-313.105	548.036	-0.345081	0.154793	-0.818797	0.481574	Si
-490.595	-312.907	546.989	-0.338632	0.156587	-0.737806	0.446812	Si
-490.724	-312.847	546.707	-0.314372	0.202951	-0.688137	0.436053	Si
-491.197	-312.542	545.672	0.245599	-0.133857	0.766875	0.39331	Si
-491.178	-312.552	545.731	0.305788	0.0220233	0.804703	0.391052	Si
-490.911	-312.533	546.433	0.258934	-0.593427	0.692678	0.36504	Si
-490.63	-313.176	547.184	0.308789	-0.612207	0.632837	0.331765	Si
-490.55	-313.336	547.349	0.386797	-0.556429	-0.0730426	0.323453	Si
-490.062	-314.037	547.257	0.346444	-0.613091	0.0296653	0.282881	Si
-489.987	-314.171	547.264	0.444653	0.633107	0.417571	0.275489	Si
-489.737	-313.816	547.498	0.519583	0.568753	0.424502	0.256299	Si
-489.617	-313.685	547.596	0.276612	0.853723	0.136584	0.248241	Si
-489.496	-313.311	547.656	0.342802	0.852385	0.0113589	0.232702	Si
-489.276	-312.762	547.663	0.434235	0.786813	0.104414	0.209417	Si
-489.254	-312.723	547.668	0.477813	0.746403	0.142535	0.207536	Si
-489.034	-312.379	547.734	0.477813	0.746403	0.142535	0.190262	Si
-488.977	-312.29	547.751	-0.774421	-0.236433	0.72634	0.1857	Si
-489.128	-312.336	547.893	-0.807056	-0.0856316	0.703874	0.178149	Si
-489.295	-312.354	548.038	-0.648352	-0.421766	0.929361	0.170066	Si
-489.384	-312.412	548.166	-0.152087	0.993927	-0.00335602	0.164616	Si
-489.458	-311.927	548.164	-0.290197	0.909924	-0.355906	0.145113	Si
-489.544	-311.657	548.058	-0.162656	0.769388	-0.66676	0.132902	Si
-489.55	-311.631	548.036	-0.324341	0.740087	-0.63463	0.131475	Si
-489.706	-311.275	547.73	0.356993	0.976573	-0.228107	0.111251	Si
-489.595	-310.974	547.66	-0.0742266	1.05496	-0.0436878	0.0978828	Si
-489.614	-310.708	547.649	0.463307	0.452033	-0.781285	0.0867522	Si
-489.596	-310.69	547.618	-0.783876	0.0367552	0.78984	0.0849802	Si
-489.667	-310.687	547.69	-0.692287	0.0475792	0.276722	0.0808859	Si
-489.673	-310.686	547.693	0.62151	-0.345666	-0.37079	0.080508	Si
-489.252	-310.92	547.441	0.62151	-0.345666	-0.37079	0.05	Si
-----------------------------------------------------------------	-----------------------------------------------------------------	
	Trajectory	1

BackScattered	Transmitted	Detected	Displayed	Nb Collisions	Max Depth	Mean Free Path	Mean dE/dS	Mean Phi	Mean Theta	Mean Position
no	no	no	yes	336	703.564	0	-0.0111633	3.25239	0.231147	(-633.933,80.6937,434.94)	

X	Y	Z	Rx	Ry	Rz	Energy	Region
